Research Activity,Stream,PDF,Percentage Distribution
nurturing sibling rivalry,DS,0.3532422469981089,1.08%
hunting serial killers,DS,0.23209711804470248,1.17%
singing punk rock songs,CS+DS,0.18867751387617682,0.50%
piloting a spaceship,DS,0.2535506343627881,0.83%
singing pop songs,CS+DS,0.20888337013004524,0.33%
practicing insincerity,DS,0.2739982845466959,0.75%
scandalizing polite society,CS+DS,0.20614851337054893,0.33%
painting dark pictures,CS+DS,0.381197722310815,0.25%
adopting children,CS+DS,0.17217915351424268,0.17%
picking pockets,DS,0.32657653888869276,1.08%
running an empire,CS,0.23333760728440833,0.17%
moaning about men,CS+DS,0.1770619624557211,0.25%
singing pop songs,CS+DS,0.24033918374289504,0.50%
fighting civil wars,CS,0.3515258486485477,0.75%
singing torch songs,CS,0.3385814770865572,0.25%
gyrating hips,CS,0.19881108744266796,0.42%
making witty remarks,CS+DS,0.3953530503101488,0.75%
giving investment advice,CS,0.3558309385610985,0.58%
modeling clothes,CS,0.10955104059093469,0.17%
studying gorillas up close,CS,0.0991054640178778,0.25%
solving mysteries,DS,0.18376186112039597,0.33%
writing on wax tablets,CS+DS,0.0345635701188219,0.00%
singing pop songs,CS+DS,0.3988652493431996,0.58%
fighting for justice,DS,0.39832260315975415,1.17%
brokering peace deals,CS,0.2691430963611282,0.33%
starring in Hollywood movies,CS+DS,0.0751743744798041,0.08%
winning Oscars,CS,0.3668896021957355,0.58%
defending the weak,DS,0.2567602935414122,0.67%
throwing lavish parties,DS,0.3543466068585939,1.17%
eating carrots,DS,0.22088657772518153,0.58%
spying for the CIA,DS,0.22845724547528978,0.75%
starring in daytime soap operas,DS,0.03120319909920744,0.08%
campaigning for social causes,CS,0.3979716638272976,0.50%
posing for photographs,CS,0.2713383579767237,0.67%
writing pop songs,CS+DS,0.3795569486990401,0.75%
making provocative documentaries,CS,0.3953957849651966,0.58%
walking like a man,CS+DS,0.39227858822785494,0.67%
avoiding paparazzi,CS+DS,0.3810468387699379,0.33%
hacking into corporate mainframes,DS,0.21150435477583013,0.67%
making suspense movies,CS+DS,0.3205722337608767,0.50%
getting plastic surgery,CS,0.3137713967462525,0.67%
drinking too much red wine,DS,0.3607407305509403,0.75%
starring in sit-coms,CS,0.3383450360047825,0.33%
solving crimes,DS,0.25305617839378225,0.58%
selling chrystal meth,DS,0.11549407034111454,0.50%
starring in Hollywood movies,DS,0.09551074746942431,0.33%
complaining about everything,DS,0.39890440824177903,1.42%
designing modern buildings,CS+DS,0.39675854319394277,0.75%
cross-dressing in women's clothes,CS+DS,0.33099717752714036,0.58%
hosting reality TV shows,CS+DS,0.12940111164611998,0.17%
commanding a spaceship,DS,0.3284835907719739,0.83%
writing short stories,CS,0.09776533205881296,0.08%
making unauthorized sex tapes,CS,0.34524289736330593,0.42%
seducing young women,DS,0.13179058278791153,0.25%
chasing interns,CS+DS,0.03483889033611339,0.00%
writing pop songs,CS+DS,0.2580070060576051,0.42%
pulling dirty political tricks,CS+DS,0.270439307282296,0.50%
collecting treasures,CS+DS,0.3900089953340393,0.67%
fighting for democracy,CS,0.13203185594045783,0.33%
building empires,CS+DS,0.1983577739657499,0.25%
getting plastic surgery,CS,0.32787293833772774,0.25%
making new wave movies,CS+DS,0.3965439885422644,0.33%
piloting a spaceship,DS,0.23265558043605356,0.33%
mangling idioms,DS,0.3886537772831908,1.08%
promoting conservative values,CS,0.09906674253994216,0.08%
racking up marriages,CS+DS,0.37546441343926884,0.67%
starring in Hollywood movies,CS+DS,0.39291711192647016,0.75%
writing plays about the middle classes,CS,0.2773408038366134,0.42%
solving mysteries,DS,0.3375256534056661,0.92%
buying on credit,DS,0.18105196667024062,0.83%
climbing social ladders,DS,0.34723063878229027,0.50%
trading innuendo,CS,0.39374534969493163,0.83%
singing pop songs,CS,0.39744310645998154,0.92%
ranting about liberals,CS+DS,0.16667286643010942,0.42%
currying favour,DS,0.31164684138605664,0.92%
singing pop songs,CS+DS,0.355905558678136,0.75%
running a criminal enterprise,DS,0.3418316767623597,1.25%
running a multinational corporation,CS,0.34014745326715806,0.17%
preventing crime,DS,0.39556941588450373,0.92%
starring in Hollywood movies,CS+DS,0.38754197873700436,0.58%
promoting communism,CS,0.3957775613987749,0.75%
singing pop songs,CS+DS,0.3821139891082932,0.42%
pedalling furiously,CS,0.36043939674392395,0.33%
singing rock songs,CS+DS,0.14203647793855803,0.33%
writing modern fiction,CS,0.2843317423091485,0.42%
organizing armed robberies,DS,0.1431661212846734,0.50%
developing advertising campaigns,DS,0.3822048218078074,0.75%
solving riddles,DS,0.3325406412974541,1.17%
impersonating women,DS,0.33384735365248586,0.75%
singing country music,CS+DS,0.01388788342892639,0.00%
spreading revolution,DS,0.24492786807313766,0.92%
signing sports memorabilia,CS,0.2560189839897271,0.83%
living amongst apes,CS,0.3722562175799145,0.83%
selling cheap airline seats,CS+DS,0.3136044842359758,0.50%
